V5001,V5002,V5003,case_number,V5005,V5006,V5007,V5008,V5009,V5010,V5011
5,1,AL0011200,2W1I0U728LBN,20160103,1,33,M,W,1, 
5,1,AL0011200,2W1I0U728NKN,20160101,1,20,M,B,1, 
5,1,AL0011200,2W1I0U728Y08,20160102,1,27,F,B,2, 
5,1,AL0011200,2W1I0U728Y08,20160102,2,31,F,B, , 
5,1,AL0011200,2W1I0U728Y2D,20160102,1,23,M,B,1, 
5,1,AL0011200,2W1I0U728Y2W,20160102,1,18,F,W,1, 
5,1,AL0011200,2W1I0U728YB4,20160102,1,17,M,B,1, 
5,1,AL0011200,2W1I0U728YBO,20160102,0, , , ,1, 
5,1,AL0011200,2W1I0U728YJ8,20160102,1,19,F,B,1, 
5,1,AL0011200,2W1I0U728YJO,20160102,1,49,F,B,2, 
5,1,AL0011200,2W1I0U728YJO,20160102,2,49,F,B, , 
5,1,AL0011200,2W1I0U728YTO,20160102,1,32,F,W,1, 
5,1,AL0011200,2W1I0U7294KX,20160106,1,18,M,W,1, 
5,1,AL0011200,2W1I0U72960,20160105,0, , , ,1, 
5,1,AL0011200,2W1I0U729604,20160105,0, , , ,1, 
5,1,AL0011200,2W1I0U72960W,20160105,0, , , ,1, 
5,1,AL0011200,2W1I0U729624,20160105,0, , , ,1, 
5,1,AL0011200,2W1I0U72962N,20160105,1,16,M,B,1, 
5,1,AL0011200,2W1I0U7296JI,20160105,0, , , ,1, 
5,1,AL0011200,2W1I0U7296K,20160105,1,16,M,B,1, 
5,1,AL0011200,2W1I0U7296KO,20160105,1,41,M,B,1, 
5,1,AL0011200,2W1I0U7296TN,20160102,1,40,F,B,1, 
